injected,dropped,trial,accepted,prefix_removed,ext_missing,status,received
0,4,67,False,False,False,packet_rejected,0
0,4,68,False,False,False,packet_rejected,0
0,4,69,False,False,False,packet_rejected,0
0,4,70,False,False,False,packet_rejected,0
0,4,71,False,False,False,packet_rejected,0
0,4,72,False,False,False,packet_rejected,0
0,4,73,False,False,False,packet_rejected,0
0,4,74,False,False,False,packet_rejected,0
0,4,75,False,False,False,packet_rejected,0
0,4,76,False,False,False,packet_rejected,0
0,4,77,False,False,False,packet_rejected,0
0,4,78,False,False,False,packet_rejected,0
0,4,79,False,False,False,packet_rejected,0
0,4,80,False,False,False,packet_rejected,0
0,4,81,False,False,False,packet_rejected,0
0,4,82,False,False,False,packet_rejected,0
0,4,83,False,False,False,packet_rejected,0
0,4,84,False,False,False,packet_rejected,0
0,4,85,False,False,False,packet_rejected,0
0,4,86,False,False,False,packet_rejected,0
0,4,87,False,False,False,packet_rejected,0
0,4,88,False,False,False,packet_rejected,0
0,4,89,False,False,False,packet_rejected,0
0,4,90,False,False,False,packet_rejected,0
0,4,91,False,False,False,packet_rejected,0
0,4,92,False,False,False,packet_rejected,0
0,4,93,False,False,False,packet_rejected,0
0,4,94,False,False,False,packet_rejected,0
0,4,95,False,False,False,packet_rejected,0
0,4,96,False,False,False,packet_rejected,0
0,4,97,False,False,False,packet_rejected,0
0,4,98,False,False,False,packet_rejected,0
0,4,99,False,False,False,packet_rejected,0
0,5,0,False,False,False,packet_rejected,0
0,5,1,False,False,False,packet_rejected,0
0,5,2,False,False,False,packet_rejected,0
0,5,3,False,False,False,packet_rejected,0
0,5,4,False,False,False,packet_rejected,0
0,5,5,False,False,False,packet_rejected,0
0,5,6,False,False,False,packet_rejected,0
0,5,7,False,False,False,packet_rejected,0
0,5,8,False,False,False,packet_rejected,0
0,5,9,False,False,False,packet_rejected,0
0,5,10,False,False,False,packet_rejected,0
0,5,11,False,False,False,packet_rejected,0
0,5,12,False,False,False,packet_rejected,0
0,5,13,False,False,False,packet_rejected,0
0,5,14,False,False,False,packet_rejected,0
0,5,15,False,False,False,packet_rejected,0
0,5,16,False,False,False,packet_rejected,0
0,5,17,False,False,False,packet_rejected,0
0,5,18,False,False,False,packet_rejected,0
0,5,19,False,False,False,packet_rejected,0
0,5,20,False,False,False,packet_rejected,0
0,5,21,False,False,False,packet_rejected,0
0,5,22,False,False,False,packet_rejected,0
0,5,23,False,False,False,packet_rejected,0
0,5,24,False,False,False,packet_rejected,0
0,5,25,False,False,False,packet_rejected,0
0,5,26,False,False,False,packet_rejected,0
0,5,27,False,False,False,packet_rejected,0
0,5,28,False,False,False,packet_rejected,0
0,5,29,False,False,False,packet_rejected,0
0,5,30,False,False,False,packet_rejected,0
